Latitude,Longitude,Dissolved oxygen (mg/L),Potential of Hydrogen (pH),Total Dissolved Solids (mg/L),Nitrate N (mgN/L),Amonia N (mgN/L),Calcium (mg/L),Magnesium (mg/L),Sodium (mg/L),Chloride (mg/L),Sulphate (mg/L)
26.4722,80.3786,6.119588727200463,7.9733078207538535,242.61306152006347,2.1909121960813662,0.7466860204900854,31.33536481184555,23.62956846543404,33.691278116371016,43.859559807888864,19.462579092746576
26.46988617234469,80.38386513026053,5.939338992004495,7.99495905036598,244.32782450846312,2.2188621401388477,0.7180957848853784,32.20608082499829,23.479449994288576,33.693488301014035,43.70196615900239,19.942800550841092
26.46757234468938,80.38913026052104,5.920820025985649,7.969674149960436,239.17579150050537,2.2264366770569675,0.7258620876584074,32.4503110899655,23.39312347580919,32.49867387791269,43.30315608303734,20.025801226566035
26.46525851703407,80.39439539078157,6.066896617543547,7.989887128247622,238.02032739382025,2.287315929328356,0.7227883357605204,33.01879596162937,24.196595799364744,33.81532532180973,41.583459718052154,20.4612370980576
26.46294468937876,80.3996605210421,6.068008020106635,7.927495323180819,236.02038282340035,2.236926188867726,0.7105010552900104,31.75190927348906,23.949339101981366,34.754298688875444,42.53120556675933,20.86632112088291
26.46063086172345,80.4049256513026,6.053915630702399,8.013000862239673,236.8759621813313,2.1674567067973585,0.6926347976303582,33.52403433321462,24.189031534055378,32.915271383728665,43.92612128133982,21.629811695729643
26.458317034068138,80.41019078156313,6.256895877318519,8.005935679236515,251.7172444592374,2.2071930938457016,0.7124656611583279,31.090902133053685,24.31449579521868,34.95837106953321,41.758791330665666,21.2880894600853
26.456003206412827,80.41545591182366,6.328379604586485,7.9748047522848005,244.57150047667574,2.1291433249569587,0.700332320287191,32.95476322185461,24.144326120743727,34.39212100304759,40.02375393159074,20.892806590499948
26.453689378757517,80.42072104208417,6.2330255395461105,8.035633935115406,233.79132540520675,2.188921375321205,0.7016290141405322,33.272097871897934,24.29969375923823,33.2168857188986,42.43172798312311,22.49203952885003
26.451375551102206,80.4259861723447,6.478028377571035,8.048709363191588,233.44207737189438,2.1211884716051057,0.678278423871979,34.373185334217055,24.006022808146017,33.66158020217324,42.37848937822317,21.739202358780986
26.449061723446896,80.43125130260522,6.12364564859285,7.949004151804963,240.13185750072748,2.109480624737167,0.6960605780203576,34.088166554990146,23.55502537578271,35.12594721499,42.51727985952749,22.363404881137747
26.446747895791585,80.43651643286573,6.306121739646152,7.985045278298173,239.80510074369553,2.1272060364256866,0.6554034278808281,33.14885077047743,24.44767709233101,34.233984181673165,42.98501729675876,22.8502473155442
26.444434068136275,80.44178156312626,6.269590291466519,7.987173583869603,239.16555177632185,2.022229453958112,0.6844176195426124,33.68821771143644,23.782379041562393,33.456495316438776,42.683197843930124,22.960115272805066
26.442120240480964,80.44704669338678,6.14064204639854,7.982854419914715,235.24983327331972,1.9907129934268681,0.6221158205774027,34.83770924471483,23.63600394012195,33.098606945600785,42.04836243731114,23.639768923876172
26.439806412825654,80.4523118236473,6.453185183689246,8.056255523178553,235.01663887755814,1.9853755208810888,0.6438944995924877,34.81767684043184,23.930042467843908,33.23523388961801,42.845432216771165,23.563509287276364
26.437492585170343,80.45757695390782,6.493631670652707,8.018052210491327,236.03156193540403,2.002875481428129,0.6330355308156004,34.61937984176554,23.62580370428362,32.5500200096416,39.611949504662604,23.123562735294957
26.435178757515033,80.46284208416834,6.786442080458408,8.018043783238634,234.22173430195625,1.893680264363889,0.6020309171110244,34.89931400508674,23.812428568028043,30.95196024558463,41.57728398820968,24.87251183003145
26.43286492985972,80.46810721442887,6.702681347860848,7.951366755532023,224.11944297325854,1.8206434218990053,0.6079609920361919,36.04174145707654,24.10425223045933,34.511895259044955,41.43897304551731,24.1081366920039
26.430551102204408,80.47337234468938,6.504048500682818,8.05989973314734,231.16019424210745,1.8573487506850137,0.6080315557403415,35.270973838345384,24.091957884959818,32.63428120021386,39.10307901852869,24.163688109271046
26.428237274549097,80.4786374749499,6.986265708160472,7.987926314302276,227.72473094207973,1.8517576354661485,0.5424858549869426,35.81444133265108,23.578243767267665,32.66701792382604,38.52072123540254,24.94428176875892
26.425923446893787,80.48390260521043,6.942516235993407,8.04294638153648,230.85435674815182,1.8347008733530454,0.5698774017586744,37.820086487544664,23.72581601306538,32.065203190344704,39.05228108117145,24.810501973895086
26.423609619238476,80.48916773547094,6.898494861817409,8.054722275215386,241.09387078591357,1.7475708686779576,0.5112770935976018,35.14382140812858,24.33292537843671,31.259583686517015,38.83691114174485,25.107269223086075
26.421295791583166,80.49443286573147,6.829512433136996,8.101144329934698,229.60221639060165,1.7112995375133297,0.52031586531668,34.99930209161049,24.082821960578663,31.553751666294954,40.0791968216481,26.373972069725518
26.418981963927855,80.499697995992,6.772237123149739,7.997455729490633,225.84168206780421,1.719957667858318,0.5451902890580199,37.305006372494255,24.694137659752847,30.078334531270638,38.25548827219441,25.208816344266154
26.416668136272545,80.5049631262525,6.91323210720664,7.9321056899237625,229.73444251000464,1.5905844431180138,0.4978472025282461,36.33189940894459,24.31479710193544,33.36145870475266,37.66692046834827,25.404191985948085
26.414354308617234,80.51022825651303,7.185409007826267,8.063292418150388,226.9211420233966,1.5961086676174643,0.4746971544052798,36.81619526331379,24.27788636322882,29.993654753756154,37.61104511715521,25.836182435228398
26.412040480961924,80.51549338677356,7.357825858675577,8.130973646965469,225.6093422435143,1.574427199375277,0.47501809032133174,36.64109528961518,23.241238982952545,29.96766455964209,39.18790213455541,26.52652491880655
26.409726653306613,80.52075851703407,7.359560671835342,8.111476563264315,225.29395356274944,1.5431116291516451,0.4946768623077706,37.252650650823206,24.076946815316827,30.29172221413154,37.645022548576776,25.44835508159539
26.407412825651303,80.5260236472946,7.1074691600271676,8.073210003222448,230.03279553282238,1.475335946816046,0.4218810455736756,38.93299859600232,23.7239804603585,31.63924156850873,37.10751193127715,25.427609738945524
26.405098997995992,80.53128877755512,7.065257911744637,8.04799163080108,216.22895409361914,1.4528329523956611,0.4193476544964705,38.4887270202753,23.497460621070314,30.2862127291005,36.859440176346574,26.323435893511714
26.40278517034068,80.53655390781563,7.3063187822072235,8.102693598800158,221.60192351592258,1.3385895002448893,0.4434373111083569,38.72880997690667,23.75650490417424,28.955613789426284,38.08017100212551,26.004408733826438
26.40047134268537,80.54181903807616,7.0713913110982,8.034126800362507,214.96878347337656,1.3552922296061973,0.4348301789877695,37.0971793011751,24.0376498680956,30.9944269887993,35.516881767812954,26.81103344396265
26.39815751503006,80.54708416833668,7.435999609570872,8.094681992533255,219.8781523248817,1.3508917333293013,0.3915631938615505,37.49946283587546,23.828991421458547,30.32378567880542,37.47456010829602,27.47441228909895
26.39584368737475,80.55234929859719,7.415562343102235,8.098295942576813,212.98070906310016,1.2705912296011572,0.36086911933186755,36.338415257702266,23.245196009510245,29.954351151438463,35.95084512525753,26.975068794462423
