geometry,Longitude,Latitude,Dissolved oxygen (mg/L),Potential of Hydrogen (pH),Total Dissolved Solids (mg/L),Nitrate N (mgN/L),Amonia N (mgN/L)
POINT (80.38037526358491 26.487719073962264),80.38037526358491,26.487719073962264,6.900427778742078,8.134704516623666,251.41649433567932,1.6188807052442913,0.12210405605202125
POINT (80.38355094490566 26.48380534226415),80.38355094490566,26.48380534226415,6.910267261186666,8.138139274271397,252.14513991706212,1.6225300673309848,0.12032673480302405
POINT (80.38672662622642 26.47989161056604),80.38672662622642,26.47989161056604,6.913623373465377,8.139376128585605,252.40721884077277,1.6238490473421388,0.11969994229747982
POINT (80.38990230754717 26.475977878867926),80.38990230754717,26.475977878867926,6.908286062057973,8.137908556935255,252.0941597548139,1.6223169967300342,0.12054170816497886
POINT (80.39307798886793 26.472064147169814),80.39307798886793,26.472064147169814,6.891587260490334,8.13311713739858,251.07315181846525,1.6172980047011547,0.12323671107812077
POINT (80.39625367018868 26.4681504154717),80.39625367018868,26.4681504154717,6.860506219342226,8.12430096456872,249.19381796500716,1.6080741667339462,0.12821864185065818
POINT (80.39942935150944 26.464236683773585),80.39942935150944,26.464236683773585,6.811956812171367,8.110755980017606,246.30492004971669,1.5939274376810981,0.13592495929247592
POINT (80.40260503283018 26.460322952075472),80.40260503283018,26.460322952075472,6.743328547414671,8.091916915191113,242.28468520018478,1.5742870514446858,0.14671385671524723
POINT (80.40578071415094 26.45640922037736),80.40578071415094,26.45640922037736,6.653293773168418,8.067563304921745,237.0848809238226,1.5489424927459512,0.1607426338914185
POINT (80.40895639547169 26.452495488679247),80.40895639547169,26.452495488679247,6.54274768917458,8.038052277762539,230.78069615850217,1.5182828730610072,0.17782886902612963
POINT (80.41213207679245 26.448581756981135),80.41213207679245,26.448581756981135,6.415540723891519,8.004489424298491,223.60747289691312,1.4834706657816992,0.1973464306432258
POINT (80.4153077581132 26.444668025283022),80.4153077581132,26.444668025283022,6.278532445520136,7.968720045661483,215.95908271763835,1.446428540690775,0.2182263306598072
POINT (80.41848343943396 26.440754293584906),80.41848343943396,26.440754293584906,6.140647559345577,7.933067235199337,208.33212740228547,1.409564687308443,0.23910741211112194
POINT (80.42165912075471 26.436840561886793),80.42165912075471,26.436840561886793,6.011099268962987,7.899869170018427,201.22705711434725,1.375292628414583,0.2586079128155338
POINT (80.42483480207547 26.43292683018868),80.42483480207547,26.43292683018868,5.897465542820147,7.8709960596343596,195.04474871846017,1.3455331069677903,0.2756123811446105
POINT (80.42801048339622 26.429013098490568),80.42801048339622,26.429013098490568,5.804411501922684,7.847545488993986,190.02109986310887,1.3214028833682594,0.2894558313377416
POINT (80.43118616471698 26.425099366792455),80.43118616471698,26.425099366792455,5.733439954285698,7.829803527689316,186.21844053570666,1.3031789621001542,0.2999515614191646
POINT (80.43436184603773 26.42118563509434),80.43436184603773,26.42118563509434,5.683490332320421,7.817416368998491,183.5620477777507,1.2904794396325168,0.3072934433601941
POINT (80.43753752735849 26.417271903396227),80.43753752735849,26.417271903396227,5.651910572085595,7.809647357054903,181.8950338822326,1.2825308841611447,0.31190586914288354
POINT (80.44071320867924 26.413358171698114),80.44071320867924,26.413358171698114,5.63537769826008,7.805612552226672,181.028734535314,1.2784120145624014,0.3143047450927269
POINT (80.44388889 26.40944444),80.44388889,26.40944444,5.6305555555555555,7.804444444444444,180.77777777777777,1.277222222222222,0.315
POINT (80.44802269281689 26.40660954174648),80.44802269281689,26.40660954174648,5.634426478258523,7.805371477107078,180.97714823284002,1.2781629492926796,0.3144475459419252
POINT (80.4521564956338 26.40377464349296),80.4521564956338,26.40377464349296,5.64450840418265,7.807767149458813,181.4927638428985,1.28058726257344,0.31301911649391934
POINT (80.4562902984507 26.400939745239437),80.4562902984507,26.400939745239437,5.658876344074985,7.811151247233498,182.22179294591794,1.2840002267121124,0.3110008450020014
POINT (80.4604241012676 26.398104846985916),80.4604241012676,26.398104846985916,5.6760541067216215,7.815160293818739,183.08635082112497,1.2880280574274523,0.30861029064984724
POINT (80.4645579040845 26.395269948732395),80.4645579040845,26.395269948732395,5.6949395640869875,7.819526737847231,184.02906664704096,1.2923962809833354,0.3060084000277791
POINT (80.46869170690141 26.392435050478873),80.46869170690141,26.392435050478873,5.714727643742529,7.824058287174391,185.00867376744006,1.296908177583552,0.3033115219586054
POINT (80.4728255097183 26.389600152225352),80.4728255097183,26.389600152225352,5.734841767478922,7.8286198869044235,185.99616021926053,1.301426047736839,0.30060195469772416
POINT (80.47695931253521 26.38676525397183),80.47695931253521,26.38676525397183,5.754877282624295,7.833119065035724,186.97163631430917,1.3058560166882047,0.297936563157247
